family_id,company,title,postings,countries,open_to_colombia,min_years,english_level,pay_usd_hour_max,pay_usd_year_max,first_published,last_published,url
b6e8c27fe0d6,Scale AI,"Strategic Projects Lead, Generative AI",1,US,False,2,,,,2023-06-13,2023-06-13,https://job-boards.greenhouse.io/scaleai/jobs/4282118005
0a6116e6458a,Scale AI,"Strategic Projects Lead, Public Sector - Cyber",1,US,False,2,,,,2026-08-11,2026-08-11,https://job-boards.greenhouse.io/scaleai/jobs/4722928005
dd118e5a038b,Scale AI,"Strategic Projects Lead, Robotics",1,US,False,,,,,2026-02-05,2026-02-05,https://job-boards.greenhouse.io/scaleai/jobs/4658316005
c68e9bb2525e,Scale AI,"Strategist, Qatar",1,QA,False,5,,,,2025-09-16,2025-09-16,https://job-boards.greenhouse.io/scaleai/jobs/4607930005
7279a514d137,Scale AI,"Subcontracts Manager, Public Sector",1,US,False,5,,,,2026-08-24,2026-08-24,https://job-boards.greenhouse.io/scaleai/jobs/4727162005
1464121cf501,Scale AI,Subject Matter Expert,1,CA|US,False,,,,,2026-06-09,2026-06-09,https://job-boards.greenhouse.io/scaleai/jobs/4704285005
b55310b8928d,Scale AI,Support Specialist,1,MX,False,,,,,2026-01-12,2026-01-12,https://job-boards.greenhouse.io/scaleai/jobs/4648176005
cb8a260e4522,Scale AI,Support Team Lead,1,AR|MX,False,2,,,,2026-07-27,2026-07-27,https://job-boards.greenhouse.io/scaleai/jobs/4716431005
e92c49a1df69,Scale AI,"Team Lead, ARC Software Engineering Team",1,US,False,,,,,2026-07-24,2026-07-24,https://job-boards.greenhouse.io/scaleai/jobs/4717701005
5b4fca96c3d4,Scale AI,"Tech Lead Manager- MLRE, ML Systems",1,US,False,,,,,2025-10-10,2025-10-10,https://job-boards.greenhouse.io/scaleai/jobs/4618046005
68db5ecc149c,Scale AI,"Technical Program Lead, Public Sector",1,US,False,10,,,,2026-09-17,2026-09-17,https://job-boards.greenhouse.io/scaleai/jobs/4735208005
315b1fe4d2cb,Scale AI,"Technical Program Manager (Cyber), Public Sector",1,US,False,10,,,,2026-09-09,2026-09-09,https://job-boards.greenhouse.io/scaleai/jobs/4732222005
e58dfd260045,Scale AI,"Technical Program Manager (Homeland Layered Defense), Public Sector",2,US,,5,,,,2026-08-24,2026-08-24,https://job-boards.greenhouse.io/scaleai/jobs/4726276005
b7c6303f4759,Scale AI,"Technical Program Manager, Gen AI Operations Planning",1,US,False,,,,,2026-05-08,2026-05-08,https://job-boards.greenhouse.io/scaleai/jobs/4693449005
f51ef27a42d8,Scale AI,"Technical Program Manager, Public Sector",1,US,False,10,,,,2025-11-21,2025-11-21,https://job-boards.greenhouse.io/scaleai/jobs/4633072005
d79e1b93cbcc,Scale AI,"Technical Program Manager, Public Sector (Boston, MA)",1,US,False,10,,,,2026-09-08,2026-09-08,https://job-boards.greenhouse.io/scaleai/jobs/4730990005
c2dada83a539,Scale AI,"Technical Program Manager, Public Sector (Dayton, OH)",1,,,10,,,,2026-09-08,2026-09-08,https://job-boards.greenhouse.io/scaleai/jobs/4731017005
7a549293d242,Scale AI,"Technical Program Manager, Red Team",1,US,False,2,,,,2026-06-02,2026-06-02,https://job-boards.greenhouse.io/scaleai/jobs/4702122005
26a5ccc583ae,Scale AI,"VP, Research",1,US,False,,,,,2026-08-01,2026-08-01,https://job-boards.greenhouse.io/scaleai/jobs/4611448005
05c231775601,Scale AI,Workplace Operations Manager,1,GB,False,,,,,2026-08-11,2026-08-11,https://job-boards.greenhouse.io/scaleai/jobs/4722941005
e1b8b5cd366a,Turing,AI Engagement Lead,1,US,False,10,,,260000.0,2026-08-17,2026-08-17,https://job-boards.greenhouse.io/turing/jobs/6128357004
3c9118541f9a,Turing,Chief of Staff (CEO's Office),1,US,False,,,,250000.0,2026-07-23,2026-07-23,https://job-boards.greenhouse.io/turing/jobs/6123046004
49155316bb6f,Turing,"Client Director, Frontier Data - US",1,US,False,10,,,325000.0,2025-09-20,2025-09-20,https://job-boards.greenhouse.io/turing/jobs/5652980004
7f448d24941c,Turing,Community Manager,1,BR,False,,,,,2026-06-22,2026-06-22,https://job-boards.greenhouse.io/turing/jobs/5991747004
5a729b3fafe9,Turing,Director of Information Security,1,US,False,10,,,,2026-09-21,2026-09-21,https://job-boards.greenhouse.io/turing/jobs/6203691004
790af78ade28,Turing,Engagement Manager,1,US,False,,,,,2026-09-15,2026-09-15,https://job-boards.greenhouse.io/turing/jobs/6186761004
fa6f019fe2de,Turing,Executive Assistant,1,BR|CO,True,5,fluent,,,2026-09-23,2026-09-23,https://job-boards.greenhouse.io/turing/jobs/6205748004
ce4569cc8dc6,Turing,Forward Deployed AI Engineer,1,US,False,,,,250000.0,2026-09-17,2026-09-17,https://job-boards.greenhouse.io/turing/jobs/6192730004
3875f849bc4c,Turing,Forward Deployed AI Engineer (In Training),1,US,False,,,,210000.0,2026-09-17,2026-09-17,https://job-boards.greenhouse.io/turing/jobs/6198751004
3608d6dd4038,Turing,Forward-Deployed AI Engineer,2,IN,False,,,,,2026-09-24,2026-09-24,https://job-boards.greenhouse.io/turing/jobs/6192725004
04a8943d3a1b,Turing,Investigations Analyst,2,,True,2,,,,2026-09-18,2026-09-18,https://job-boards.greenhouse.io/turing/jobs/6198600004
cfa9b1ae7d35,Turing,"Product Manager, Finance",1,US,False,,,,215000.0,2026-08-25,2026-08-25,https://job-boards.greenhouse.io/turing/jobs/6150811004
4b474d737d46,Turing,Research Engineer,2,BR|CO,True,4,,,,2026-03-23,2026-03-23,https://job-boards.greenhouse.io/turing/jobs/5819908004
a76da8082cdb,Turing,"Research Scientist, STEM",1,US,False,,,,300000.0,2026-09-24,2026-09-24,https://job-boards.greenhouse.io/turing/jobs/6187283004
771a650dca0e,Turing,Senior DevOps & Infrastructure Engineer,1,BR|CO,True,5,,,,2026-08-29,2026-08-29,https://job-boards.greenhouse.io/turing/jobs/6174327004
960301730377,Turing,Senior IT Engineer,1,,True,5,,,,2026-09-14,2026-09-14,https://job-boards.greenhouse.io/turing/jobs/6191482004
d3bfe9a8a714,Turing,Senior Product Marketing Manager,1,US,False,5,,,205000.0,2026-08-25,2026-08-25,https://job-boards.greenhouse.io/turing/jobs/6162081004
568d897a9483,Turing,"Senior Research Engineer, Enterprise Knowledge",1,US,False,,,,350000.0,2026-09-24,2026-09-24,https://job-boards.greenhouse.io/turing/jobs/6207732004
cc8f0b720624,Turing,"Senior Research Engineer, Frontier Data",1,US,False,,,,350000.0,2026-09-24,2026-09-24,https://job-boards.greenhouse.io/turing/jobs/6198595004
a5761ea7a280,Turing,"Senior Research Engineer, SWE",1,US,False,,,,350000.0,2025-11-10,2025-11-10,https://job-boards.greenhouse.io/turing/jobs/5703798004
bec69d617efc,Turing,"Senior Research Scientist, STEM",1,US,False,,,,350000.0,2026-09-24,2026-09-24,https://job-boards.greenhouse.io/turing/jobs/6187281004
b6dc47824b7d,Turing,Staff CorpSec Engineer,1,US,False,8,,,,2026-09-22,2026-09-22,https://job-boards.greenhouse.io/turing/jobs/6194761004
0f01c5422a34,Turing,"Staff Research Engineer, Enterprise Knowledge",1,US,False,,,,400000.0,2025-11-11,2025-11-11,https://job-boards.greenhouse.io/turing/jobs/5703799004
76dc79e6f0ec,Turing,"Staff Research Engineer, Frontier Data",1,US,False,,,,400000.0,2026-09-24,2026-09-24,https://job-boards.greenhouse.io/turing/jobs/6198594004
2881dfa22394,Turing,"Staff Research Engineer, SWE",1,US,False,,,,400000.0,2026-03-09,2026-03-09,https://job-boards.greenhouse.io/turing/jobs/5822280004
efcffa396db9,Turing,"Staff Research Scientist, STEM",1,US,False,,,,400000.0,2026-09-24,2026-09-24,https://job-boards.greenhouse.io/turing/jobs/6187280004
8421f5490d8b,Turing,Staff Security Analyst,1,US,False,8,,,,2026-09-21,2026-09-21,https://job-boards.greenhouse.io/turing/jobs/6203706004
d16b90d31fce,Turing,Staff Software Engineer,1,IN,False,12,,,,2026-07-15,2026-07-15,https://job-boards.greenhouse.io/turing/jobs/6115701004
7a2f430967cb,Turing,Staff Technical Program Manager,1,US,False,8,,,,2026-09-21,2026-09-21,https://job-boards.greenhouse.io/turing/jobs/6203730004
cb989240332b,Turing,Strategic Project Lead - Code,1,IN,False,,,,,2026-08-26,2026-08-26,https://job-boards.greenhouse.io/turing/jobs/6142224004
d43d7e709b70,Turing,"Strategic Project Lead, Software Engineering",1,US,False,,,,500000.0,2026-08-17,2026-08-17,https://job-boards.greenhouse.io/turing/jobs/6145673004
6847d5432a62,Turing,Technical Business Analyst,1,US,False,8,,,180000.0,2026-07-11,2026-07-11,https://job-boards.greenhouse.io/turing/jobs/6114235004
